"qid","query","retrieval_gt","generation_gt"
"2WikiMultihopQA_Q43","Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?","[array(['2WikiMultihopQA_C43_0', '2WikiMultihopQA_C43_1'], dtype=object)]","Louis-Alexandre Berthier"
"2WikiMultihopQA_Q44","Where was the husband of Caterina Visconti born?","[array(['2WikiMultihopQA_C44_0'], dtype=object)]","Pavia"
"2WikiMultihopQA_Q45","Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?","[array(['2WikiMultihopQA_C45_0', '2WikiMultihopQA_C45_1'], dtype=object)]","A Quiet Place In The Country"
"2WikiMultihopQA_Q46","Who was born first, John Beach or Gordon Persons?","[array(['2WikiMultihopQA_C46_0', '2WikiMultihopQA_C46_1'], dtype=object)]","John Beach"
"2WikiMultihopQA_Q47","Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?","[array(['2WikiMultihopQA_C47_0', '2WikiMultihopQA_C47_1'], dtype=object)]","Charlie Chan In Honolulu"
"2WikiMultihopQA_Q48","Who is the child of the director of film La Leona (Film)?","[array(['2WikiMultihopQA_C48_0'], dtype=object)]","Víctor Bó"
"2WikiMultihopQA_Q49","Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?","[array(['2WikiMultihopQA_C49_0', '2WikiMultihopQA_C49_1'], dtype=object)]","Urraca of Castile"
"2WikiMultihopQA_Q50","Who lived longer, Giuseppe Cesari or Nicos Poulantzas?","[array(['2WikiMultihopQA_C50_0', '2WikiMultihopQA_C50_1'], dtype=object)]","Giuseppe Cesari"
"2WikiMultihopQA_Q51","Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?","[array(['2WikiMultihopQA_C51_0', '2WikiMultihopQA_C51_1'], dtype=object)]","yes"
"2WikiMultihopQA_Q52","Who is older, Aryeh Ben-Eliezer or Jason Pociask?","[array(['2WikiMultihopQA_C52_0', '2WikiMultihopQA_C52_1'], dtype=object)]","Aryeh Ben-Eliezer"
"2WikiMultihopQA_Q53","Where does the director of film Man At Bath work at?","[array(['2WikiMultihopQA_C53_0', '2WikiMultihopQA_C53_1'], dtype=object)]","Cahiers du cinéma"
"2WikiMultihopQA_Q54","Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?","[array(['2WikiMultihopQA_C54_0', '2WikiMultihopQA_C54_1',
        '2WikiMultihopQA_C54_2'], dtype=object)          ]","Sir Arthur Gore, 2nd Baronet"
"2WikiMultihopQA_Q55","Are both Kaufland and Otrag located in the same country?","[array(['2WikiMultihopQA_C55_0', '2WikiMultihopQA_C55_1'], dtype=object)]","yes"
"2WikiMultihopQA_Q56","Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?","[array(['2WikiMultihopQA_C56_0'], dtype=object)]","Heroes Of The Street"
"2WikiMultihopQA_Q57","Where was the father of Lord Patrick Crichton-Stuart born?","[array(['2WikiMultihopQA_C57_0', '2WikiMultihopQA_C57_1'], dtype=object)]","London"
"2WikiMultihopQA_Q58","Which country the director of film Daadagiri is from?","[array(['2WikiMultihopQA_C58_0', '2WikiMultihopQA_C58_1'], dtype=object)]","Pakistan"
"2WikiMultihopQA_Q59","Where was the wife of Douglas Leiterman born?","[array(['2WikiMultihopQA_C59_0', '2WikiMultihopQA_C59_1'], dtype=object)]","Winnipeg, Manitoba"
"2WikiMultihopQA_Q60","What is the place of birth of the performer of song Who...?","[array(['2WikiMultihopQA_C60_0', '2WikiMultihopQA_C60_1'], dtype=object)]","Fukuoka"
"2WikiMultihopQA_Q61","Where was the place of death of the director of film Mole Men Against The Son Of Hercules?","[array(['2WikiMultihopQA_C61_0'], dtype=object)]","Roma"
"2WikiMultihopQA_Q62","Where was the father of Alexandre Gaydamak born?","[array(['2WikiMultihopQA_C62_0', '2WikiMultihopQA_C62_1'], dtype=object)]","Moscow, USSR"
"2WikiMultihopQA_Q63","Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?","[array(['2WikiMultihopQA_C63_0', '2WikiMultihopQA_C63_1'], dtype=object)]","Toen 'T Licht Verdween"
"2WikiMultihopQA_Q64","Who is Gaston, Duke Of Orléans's paternal grandmother?","[array(['2WikiMultihopQA_C64_0', '2WikiMultihopQA_C64_1',
        '2WikiMultihopQA_C64_2'], dtype=object)          ]","Jeanne d'Albret"
"2WikiMultihopQA_Q65","Where was the director of film The Half-Way Girl born?","[array(['2WikiMultihopQA_C65_0', '2WikiMultihopQA_C65_1'], dtype=object)]","New York"
"2WikiMultihopQA_Q66","Who is the father-in-law of Sophia Of Wittelsbach?","[array(['2WikiMultihopQA_C66_0', '2WikiMultihopQA_C66_1'], dtype=object)]","Louis II"
"2WikiMultihopQA_Q67","Where was the place of death of Lambert I, Count Of Louvain's father?","[array(['2WikiMultihopQA_C67_0', '2WikiMultihopQA_C67_1',
        '2WikiMultihopQA_C67_2'], dtype=object)          ]","Bohemia"
"2WikiMultihopQA_Q68","Where was the director of film Highway Dragnet born?","[array(['2WikiMultihopQA_C68_0', '2WikiMultihopQA_C68_1'], dtype=object)]","Gura Humorului"
"2WikiMultihopQA_Q69","Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?","[array(['2WikiMultihopQA_C69_0', '2WikiMultihopQA_C69_1',
        '2WikiMultihopQA_C69_2'], dtype=object)          ]","Meran"
"2WikiMultihopQA_Q70","What is the award that the performer of song Sunday Papers earned?","[array(['2WikiMultihopQA_C70_0', '2WikiMultihopQA_C70_1'], dtype=object)]","Grammy"
"2WikiMultihopQA_Q71","Which film has the director born first, Antonieta or Dodging The Dole?","[array(['2WikiMultihopQA_C71_0', '2WikiMultihopQA_C71_1'], dtype=object)]","Dodging The Dole"
"2WikiMultihopQA_Q72","Are both Nikolsk Airport and Svobodny Airport located in the same country?","[array(['2WikiMultihopQA_C72_0'], dtype=object)]","yes"
"2WikiMultihopQA_Q73","Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?","[array(['2WikiMultihopQA_C73_0', '2WikiMultihopQA_C73_1'], dtype=object)]","Peter I"
"2WikiMultihopQA_Q74","Are both businesses, Telus and Ztr Control Systems, located in the same country?","[array(['2WikiMultihopQA_C74_0', '2WikiMultihopQA_C74_1'], dtype=object)]","yes"
"2WikiMultihopQA_Q75","Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?","[array(['2WikiMultihopQA_C75_0', '2WikiMultihopQA_C75_1',
        '2WikiMultihopQA_C75_2'], dtype=object)          ]","yes"
"2WikiMultihopQA_Q76","Who is older, Dyson Parody or Gene Watson?","[array(['2WikiMultihopQA_C76_0', '2WikiMultihopQA_C76_1'], dtype=object)]","Gene Watson"
"2WikiMultihopQA_Q77","Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?","[array(['2WikiMultihopQA_C77_0', '2WikiMultihopQA_C77_1',
        '2WikiMultihopQA_C77_2'], dtype=object)          ]","yes"
"2WikiMultihopQA_Q78","When did Prince John Konstantinovich Of Russia's mother die?","[array(['2WikiMultihopQA_C78_0', '2WikiMultihopQA_C78_1',
        '2WikiMultihopQA_C78_2'], dtype=object)          ]","24 March 1927"
"2WikiMultihopQA_Q79","Which country Audofleda's husband is from?","[array(['2WikiMultihopQA_C79_0', '2WikiMultihopQA_C79_1',
        '2WikiMultihopQA_C79_2'], dtype=object)          ]","Ostrogothic Kingdom"
"2WikiMultihopQA_Q80","What is the place of birth of the director of film Letter To The King?","[array(['2WikiMultihopQA_C80_0'], dtype=object)]","Kurdish"
"2WikiMultihopQA_Q81","Are both bands, Snowman (Band) and Jessamine (Band), from the same country?","[array(['2WikiMultihopQA_C81_0'], dtype=object)]","no"
"2WikiMultihopQA_Q82","Where was the performer of song God (John Lennon Song) born?","[array(['2WikiMultihopQA_C82_0', '2WikiMultihopQA_C82_1'], dtype=object)]","Liverpool"
"2WikiMultihopQA_Q83","Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?","[array(['2WikiMultihopQA_C83_0', '2WikiMultihopQA_C83_1'], dtype=object)]","Captain Kidd And The Slave Girl"
"2WikiMultihopQA_Q84","Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?","[array(['2WikiMultihopQA_C84_0', '2WikiMultihopQA_C84_1',
        '2WikiMultihopQA_C84_2'], dtype=object)          ]","Go Ahead And Break My Heart"
"2WikiMultihopQA_Q85","Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?","[array(['2WikiMultihopQA_C85_0', '2WikiMultihopQA_C85_1'], dtype=object)]","The Devil'S Hairpin"
"2WikiMultihopQA_Q86","Who is Maria Luisa Of Savoy's father-in-law?","[array(['2WikiMultihopQA_C86_0', '2WikiMultihopQA_C86_1'], dtype=object)]","Louis, Grand Dauphin"
"2WikiMultihopQA_Q87","Who is the paternal grandfather of Kujō Yoritsugu?","[array(['2WikiMultihopQA_C87_0', '2WikiMultihopQA_C87_1'], dtype=object)]","Kujō Michiie"
"2WikiMultihopQA_Q88","What is the place of birth of the director of film Marianela (1940 Film)?","[array(['2WikiMultihopQA_C88_0', '2WikiMultihopQA_C88_1'], dtype=object)]","Madrid"
"2WikiMultihopQA_Q89","Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?","[array(['2WikiMultihopQA_C89_0', '2WikiMultihopQA_C89_1',
        '2WikiMultihopQA_C89_2'], dtype=object)          ]","She Wore A Yellow Ribbon"
"2WikiMultihopQA_Q90","Who lived longer, Edward Dearle or Michael Doeberl?","[array(['2WikiMultihopQA_C90_0'], dtype=object)]","Edward Dearle"
"2WikiMultihopQA_Q91","Where does Karin Stoltenberg's husband work at?","[array(['2WikiMultihopQA_C91_0', '2WikiMultihopQA_C91_1'], dtype=object)]","United Nations"
"2WikiMultihopQA_Q92","Where was the director of film Lettre Ouverte born?","[array(['2WikiMultihopQA_C92_0', '2WikiMultihopQA_C92_1'], dtype=object)]","Paris"
"2WikiMultihopQA_Q93","Who is William Ii, Count Of Flanders's paternal grandmother?","[array(['2WikiMultihopQA_C93_0', '2WikiMultihopQA_C93_1'], dtype=object)]","Mathilde of Bourbon"
"2WikiMultihopQA_Q94","What is the place of birth of Clara Novello's father?","[array(['2WikiMultihopQA_C94_0'], dtype=object)]","London"
"2WikiMultihopQA_Q95","Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?","[array(['2WikiMultihopQA_C95_0', '2WikiMultihopQA_C95_1'], dtype=object)]","Emmy Of Stork'S Nest"
"2WikiMultihopQA_Q96","Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?","[array(['2WikiMultihopQA_C96_0', '2WikiMultihopQA_C96_1'], dtype=object)]","Celine: Through The Eyes Of The World"
"2WikiMultihopQA_Q97","Who was born earlier, Silas Hardy or Lee Mantle?","[array(['2WikiMultihopQA_C97_0', '2WikiMultihopQA_C97_1'], dtype=object)]","Lee Mantle"
"2WikiMultihopQA_Q98","Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?","[array(['2WikiMultihopQA_C98_0'], dtype=object)]","Königsberg"
"2WikiMultihopQA_Q99","Where was the place of death of Juan Carlos Gumucio's wife?","[array(['2WikiMultihopQA_C99_0', '2WikiMultihopQA_C99_1',
        '2WikiMultihopQA_C99_2'], dtype=object)          ]","Homs"
