"qid","query","retrieval_gt","generation_gt"
"NQ_Q27","who plays peter in what we do in the shadows","[array(['NQ_C27_0', 'NQ_C27_1', 'NQ_C27_2', 'NQ_C27_3', 'NQ_C27_4'],
       dtype=object)                                                ]","['Ben Fransham as Petyr, aged 8,000 – a Nosferatu-like vampire who lives on the bottom floor of the flat in a stone coffin and generally keeps to himself.']"
"NQ_Q28","who was the chief guest of india on independence day 2017","[array(['NQ_C28_0', 'NQ_C28_1', 'NQ_C28_2', 'NQ_C28_3'], dtype=object)]","[]"
"NQ_Q29","when does the 14th season of grey's anatomy come out","[array(['NQ_C29_0', 'NQ_C29_1', 'NQ_C29_2', 'NQ_C29_3'], dtype=object)]","[""The fourteenth season of the American television medical drama Grey's Anatomy was ordered on February 10, 2017, by American Broadcasting Company (ABC), and premiered on September 28, 2017 with a special two-hour premiere. The season will consist of 24 episodes, with the season's seventh episode marking the 300th episode for the series overall. The season is produced by ABC Studios, in association with ShondaLand Production Company and The Mark Gordon Company; the showrunner being Shonda Rhimes.""]"
"NQ_Q30","when was the first hunger games book published","[array(['NQ_C30_0', 'NQ_C30_1', 'NQ_C30_2', 'NQ_C30_3', 'NQ_C30_4',
        'NQ_C30_5', 'NQ_C30_6', 'NQ_C30_7', 'NQ_C30_8', 'NQ_C30_9',
        'NQ_C30_10'], dtype=object)                                ]","['The Hunger Games is a 2008 dystopian novel by the American writer Suzanne Collins. It is written in the voice of 16-year-old Katniss Everdeen, who lives in the future, post-apocalyptic nation of Panem in North America. The Capitol, a highly advanced metropolis, exercises political control over the rest of the nation. The Hunger Games is an annual event in which one boy and one girl aged\\xa012–18 from each of the twelve districts surrounding the Capitol are selected by lottery to compete in a televised battle to the death.']"
"NQ_Q31","the ocen at the end of the lane","[array(['NQ_C31_0', 'NQ_C31_1', 'NQ_C31_2', 'NQ_C31_3'], dtype=object)]","[]"
"NQ_Q32","sherlock holmes hound of the baskervilles movie 2002","[array(['NQ_C32_0', 'NQ_C32_1'], dtype=object)]","[]"
"NQ_Q33","which of the below feature makes the ram not suitable for the persistent storage","[array(['NQ_C33_0', 'NQ_C33_1', 'NQ_C33_2', 'NQ_C33_3', 'NQ_C33_4'],
       dtype=object)                                                ]","[]"
"NQ_Q34","keith jarrett's long as you know you're living yours","[array(['NQ_C34_0'], dtype=object)]","[]"
"NQ_Q35","mandatory elements in the definition of an adverse event (ae)","[array(['NQ_C35_0', 'NQ_C35_1', 'NQ_C35_2'], dtype=object)]","[]"
"NQ_Q36","how much is the united states in debt to china","[array(['NQ_C36_0', 'NQ_C36_1', 'NQ_C36_2', 'NQ_C36_3', 'NQ_C36_4',
        'NQ_C36_5', 'NQ_C36_6', 'NQ_C36_7', 'NQ_C36_8', 'NQ_C36_9',
        'NQ_C36_10', 'NQ_C36_11', 'NQ_C36_12', 'NQ_C36_13', 'NQ_C36_14',
        'NQ_C36_15', 'NQ_C36_16', 'NQ_C36_17', 'NQ_C36_18', 'NQ_C36_19'],
       dtype=object)                                                     ]","[]"
"NQ_Q37","where did the race in grease take place","[array(['NQ_C37_0', 'NQ_C37_1', 'NQ_C37_2', 'NQ_C37_3', 'NQ_C37_4',
        'NQ_C37_5', 'NQ_C37_6', 'NQ_C37_7', 'NQ_C37_8', 'NQ_C37_9',
        'NQ_C37_10'], dtype=object)                                ]","['When Sandy finally tells everyone it was Danny Zuko, Rizzo arranges a surprise reunion for the two at a pep rally, where Sandy is cheering along with high-achiever and resident swot, Patty Simcox (Susan Buckner). At the rally, Sandy catches the eye of a muscly member of the football team (Lorenzo Lamas). When Sandy and Danny are reunited, they are initially elated, but Danny soon slips back into his greaser attitude, which offends Sandy. At the same rally, Kenickie reveals his new car, a dilapidated used jalopy, and announces he has entered it into a ""pinks"" street race at Thunder Road.']"
"NQ_Q38","what is the maximum data rate for the 802.11a standard select one","[array(['NQ_C38_0', 'NQ_C38_1', 'NQ_C38_2', 'NQ_C38_3', 'NQ_C38_4',
        'NQ_C38_5', 'NQ_C38_6', 'NQ_C38_7', 'NQ_C38_8', 'NQ_C38_9',
        'NQ_C38_10', 'NQ_C38_11', 'NQ_C38_12', 'NQ_C38_13', 'NQ_C38_14',
        'NQ_C38_15'], dtype=object)                                     ]","['The 802.11a standard uses the same data link layer protocol and frame format as the original standard, but an OFDM based air interface (physical layer). It operates in the 5\\xa0GHz band with a maximum net data rate of 54\\xa0Mbit/s, plus error correction code, which yields realistic net achievable throughput in the mid-20 Mbit/s.']"
"NQ_Q39","use partial charges to indicate all polar bonds in the following molecules","[array(['NQ_C39_0', 'NQ_C39_1', 'NQ_C39_2'], dtype=object)]","[]"
"NQ_Q40","what is the life cycle of a centipede","[array(['NQ_C40_0', 'NQ_C40_1', 'NQ_C40_2', 'NQ_C40_3', 'NQ_C40_4',
        'NQ_C40_5', 'NQ_C40_6', 'NQ_C40_7', 'NQ_C40_8', 'NQ_C40_9',
        'NQ_C40_10'], dtype=object)                                ]","[]"
"NQ_Q41","where are the summer olympics held this year","[array(['NQ_C41_0', 'NQ_C41_1', 'NQ_C41_2'], dtype=object)]","[]"
"NQ_Q42","which is the nearest country north of egypt","[array(['NQ_C42_0', 'NQ_C42_1'], dtype=object)]","[]"
"NQ_Q43","a good that can be used in place of another good","[array(['NQ_C43_0', 'NQ_C43_1', 'NQ_C43_2', 'NQ_C43_3', 'NQ_C43_4'],
       dtype=object)                                                ]","[]"
"NQ_Q44","where in the bible can i find the lord's prayer","[array(['NQ_C44_0', 'NQ_C44_1', 'NQ_C44_2', 'NQ_C44_3', 'NQ_C44_4',
        'NQ_C44_5', 'NQ_C44_6', 'NQ_C44_7', 'NQ_C44_8', 'NQ_C44_9',
        'NQ_C44_10', 'NQ_C44_11'], dtype=object)                   ]","[]"
"NQ_Q45","what is the un declaration on the rights of indigenous peoples","[array(['NQ_C45_0', 'NQ_C45_1', 'NQ_C45_2', 'NQ_C45_3', 'NQ_C45_4',
        'NQ_C45_5', 'NQ_C45_6', 'NQ_C45_7', 'NQ_C45_8', 'NQ_C45_9',
        'NQ_C45_10', 'NQ_C45_11', 'NQ_C45_12', 'NQ_C45_13'], dtype=object)]","[]"
"NQ_Q46","when was the last time nebraska voted democrat","[array(['NQ_C46_0'], dtype=object)]","[]"
"NQ_Q47","what is selena gomez most popular tv show","[array(['NQ_C47_0', 'NQ_C47_1', 'NQ_C47_2', 'NQ_C47_3', 'NQ_C47_4',
        'NQ_C47_5', 'NQ_C47_6', 'NQ_C47_7', 'NQ_C47_8', 'NQ_C47_9',
        'NQ_C47_10', 'NQ_C47_11', 'NQ_C47_12', 'NQ_C47_13', 'NQ_C47_14',
        'NQ_C47_15', 'NQ_C47_16'], dtype=object)                        ]","[]"
"NQ_Q48","who become the ceo of it wipro company in 2016","[array(['NQ_C48_0', 'NQ_C48_1', 'NQ_C48_2', 'NQ_C48_3', 'NQ_C48_4'],
       dtype=object)                                                ]","[""At the end of December 31, 2015, its employee strength was 170,664. Abid Ali Neemuchwala was appointed as Wipro's CEO after T. K. stepped down in early 2016.""]"
"NQ_Q49","4 types of brain wave classifications as recognized by an eeg machine","[array(['NQ_C49_0', 'NQ_C49_1', 'NQ_C49_2', 'NQ_C49_3', 'NQ_C49_4',
        'NQ_C49_5', 'NQ_C49_6', 'NQ_C49_7', 'NQ_C49_8', 'NQ_C49_9',
        'NQ_C49_10', 'NQ_C49_11', 'NQ_C49_12', 'NQ_C49_13', 'NQ_C49_14',
        'NQ_C49_15', 'NQ_C49_16', 'NQ_C49_17', 'NQ_C49_18', 'NQ_C49_19'],
       dtype=object)                                                     ]","[]"
"NQ_Q50","when do they announce the next winter olympics","[array(['NQ_C50_0', 'NQ_C50_1', 'NQ_C50_2', 'NQ_C50_3', 'NQ_C50_4',
        'NQ_C50_5', 'NQ_C50_6', 'NQ_C50_7', 'NQ_C50_8', 'NQ_C50_9',
        'NQ_C50_10', 'NQ_C50_11', 'NQ_C50_12', 'NQ_C50_13'], dtype=object)]","[]"
"NQ_Q51","when was each region added to the united states","[array(['NQ_C51_0', 'NQ_C51_1', 'NQ_C51_2', 'NQ_C51_3'], dtype=object)]","[]"
"NQ_Q52","who does eric end up with in gossip girl","[array(['NQ_C52_0', 'NQ_C52_1', 'NQ_C52_2', 'NQ_C52_3', 'NQ_C52_4',
        'NQ_C52_5'], dtype=object)                                 ]","[]"
"NQ_Q53","who plays unis in she's the man","[array(['NQ_C53_0', 'NQ_C53_1', 'NQ_C53_2'], dtype=object)]","[]"
"NQ_Q54","saint etienne you need a mess of help to stand alone","[array(['NQ_C54_0'], dtype=object)]","[]"
"NQ_Q55","who played booster in jingle all the way","[array(['NQ_C55_0', 'NQ_C55_1', 'NQ_C55_2', 'NQ_C55_3', 'NQ_C55_4',
        'NQ_C55_5', 'NQ_C55_6', 'NQ_C55_7', 'NQ_C55_8', 'NQ_C55_9',
        'NQ_C55_10'], dtype=object)                                ]","[]"
"NQ_Q56","what does left and right mean in nz politics","[array(['NQ_C56_0', 'NQ_C56_1', 'NQ_C56_2', 'NQ_C56_3', 'NQ_C56_4',
        'NQ_C56_5', 'NQ_C56_6', 'NQ_C56_7', 'NQ_C56_8', 'NQ_C56_9',
        'NQ_C56_10'], dtype=object)                                ]","[]"
"NQ_Q57","season 10 of comedians in cars getting coffee","[array(['NQ_C57_0', 'NQ_C57_1', 'NQ_C57_2'], dtype=object)]","[]"
"NQ_Q58","where does the term dog and pony show come from","[array(['NQ_C58_0'], dtype=object)]","[""The term was originally used in the United States in the late-19th and early-20th centuries to refer to small traveling circuses that toured through small towns and rural areas. The name derives from the common use of performing dogs and ponies as the main attractions of the events. Performances were generally held in open-air arenas, such as race tracks or public spaces in localities that were too small or remote to attract larger, more elaborate performers or performances. The most notorious was “Prof. Gentry's Famous Dog & Pony Show,” started when teenager Henry Gentry and his brothers started touring in 1886 with their act, originally entitled “Gentry’s Equine and Canine Paradox.” It started small, but evolved into a full circus show. Other early dog and pony shows included Morris’ Equine and Canine Paradoxes (1883) and Hurlburt’s Dog and Pony Show (late 1880s).""]"
"NQ_Q59","who is recognized as the founder of islam","[array(['NQ_C59_0', 'NQ_C59_1', 'NQ_C59_2', 'NQ_C59_3', 'NQ_C59_4',
        'NQ_C59_5', 'NQ_C59_6', 'NQ_C59_7', 'NQ_C59_8', 'NQ_C59_9',
        'NQ_C59_10', 'NQ_C59_11', 'NQ_C59_12', 'NQ_C59_13', 'NQ_C59_14',
        'NQ_C59_15', 'NQ_C59_16', 'NQ_C59_17', 'NQ_C59_18', 'NQ_C59_19',
        'NQ_C59_20', 'NQ_C59_21', 'NQ_C59_22', 'NQ_C59_23', 'NQ_C59_24',
        'NQ_C59_25', 'NQ_C59_26', 'NQ_C59_27', 'NQ_C59_28', 'NQ_C59_29',
        'NQ_C59_30', 'NQ_C59_31', 'NQ_C59_32', 'NQ_C59_33', 'NQ_C59_34',
        'NQ_C59_35', 'NQ_C59_36', 'NQ_C59_37', 'NQ_C59_38', 'NQ_C59_39',
        'NQ_C59_40', 'NQ_C59_41', 'NQ_C59_42', 'NQ_C59_43', 'NQ_C59_44',
        'NQ_C59_45', 'NQ_C59_46', 'NQ_C59_47', 'NQ_C59_48', 'NQ_C59_49',
        'NQ_C59_50'], dtype=object)                                     ]","[""According to tradition, the Islamic prophet Muhammad was born in Mecca around the year 570. His family belonged to the Quraysh. When he was about forty years old, he began receiving what Muslims consider to be divine revelations delivered through the angel Gabriel, which would later form the Quran, enjoining him to proclaim a strict monotheistic faith, warn his compatriots of the impending Judgement Day, and castigate social injustices of his city. Muhammad's message won over a handful of followers and was met with increasing opposition from notables of Mecca. In 618, after he lost protection with the death of his influential uncle Abu Talib, Muhammad took flight to the city of Yathrib (subsequently called Medina) where he was joined by his followers. Later generations would count this event, known as the hijra, as the start of the Islamic era.""]"
"NQ_Q60","where is cars 3 supposed to take place","[array(['NQ_C60_0', 'NQ_C60_1', 'NQ_C60_2', 'NQ_C60_3', 'NQ_C60_4',
        'NQ_C60_5', 'NQ_C60_6'], dtype=object)                     ]","[]"
"NQ_Q61","each dot that makes up a satellite image is called a pixel. true or false","[array(['NQ_C61_0', 'NQ_C61_1', 'NQ_C61_2', 'NQ_C61_3', 'NQ_C61_4',
        'NQ_C61_5', 'NQ_C61_6', 'NQ_C61_7'], dtype=object)         ]","[]"
"NQ_Q62","who plays emma in air bud world pup","[array(['NQ_C62_0', 'NQ_C62_1'], dtype=object)]","[]"
"NQ_Q63","why do tokyo and kyoto have the same letters","[array(['NQ_C63_0', 'NQ_C63_1', 'NQ_C63_2', 'NQ_C63_3', 'NQ_C63_4',
        'NQ_C63_5', 'NQ_C63_6', 'NQ_C63_7', 'NQ_C63_8', 'NQ_C63_9',
        'NQ_C63_10', 'NQ_C63_11', 'NQ_C63_12'], dtype=object)      ]","[]"
"NQ_Q64","how old was sasuke when his clan died","[array(['NQ_C64_0', 'NQ_C64_1', 'NQ_C64_2', 'NQ_C64_3', 'NQ_C64_4',
        'NQ_C64_5', 'NQ_C64_6', 'NQ_C64_7', 'NQ_C64_8', 'NQ_C64_9',
        'NQ_C64_10', 'NQ_C64_11', 'NQ_C64_12', 'NQ_C64_13'], dtype=object)]","[""Sasuke is introduced in the third chapter of Narutos manga as a young ninja assigned to become a member of Team\\xa07 alongside Naruto Uzumaki and Sakura Haruno. The trio are trained under the guidance of Kakashi Hatake. Although Sasuke is antisocial, he starts caring about Naruto and Sakura. During a mission, Sasuke awakens his Sharingan — his clan's inherited ability to see through illusions — which allows him to learn imperceptible movements at a superhuman rate. It is revealed later that Sasuke is the sole survivor of the once-powerful Uchiha clan of Konohagakure. He, at the age of seven, survived the massacre of his clan perpetrated by his brother, Itachi, who spared Sasuke's life because he did not consider him worth killing. Sasuke seeks strong fighting opponents to reassure himself his power is growing.""]"
"NQ_Q65","how long is training camp for nfl players","[array(['NQ_C65_0', 'NQ_C65_1', 'NQ_C65_2', 'NQ_C65_3'], dtype=object)]","[""In the National Football League, training camp refers to the time before the season commences. During this time, teams will sometimes congregate at an outside location, usually a university, to conduct training camp for at least the first few weeks. This is similar to baseball's spring training.""]"
"NQ_Q66","the last speaker of the national assembly during ayub’s government was","[array(['NQ_C66_0', 'NQ_C66_1'], dtype=object)]","[]"
"NQ_Q67","where do some of the natural air pollutants come from","[array(['NQ_C67_0', 'NQ_C67_1', 'NQ_C67_2', 'NQ_C67_3', 'NQ_C67_4',
        'NQ_C67_5', 'NQ_C67_6', 'NQ_C67_7', 'NQ_C67_8', 'NQ_C67_9',
        'NQ_C67_10', 'NQ_C67_11', 'NQ_C67_12', 'NQ_C67_13', 'NQ_C67_14',
        'NQ_C67_15', 'NQ_C67_16', 'NQ_C67_17', 'NQ_C67_18', 'NQ_C67_19'],
       dtype=object)                                                     ]","[]"
"NQ_Q68","who is the pastor of new birth missionary baptist church now","[array(['NQ_C68_0', 'NQ_C68_1'], dtype=object)]","[""On January 15, 2017, Bishop Eddie Long died from an aggressive form of cancer according to a statement released by the church. The church then announced Stephen A. Davis, pastor of New Birth Birmingham in Birmingham, Alabama would be Long's successor at New Birth Missionary Baptist Church in Lithonia while remaining pastor of the Birmingham church.""]"
"NQ_Q69","what's the difference between commonwealth and territory","[array(['NQ_C69_0', 'NQ_C69_1', 'NQ_C69_2', 'NQ_C69_3'], dtype=object)]","[]"
"NQ_Q70","what are the different types of mountain biking","[array(['NQ_C70_0', 'NQ_C70_1', 'NQ_C70_2', 'NQ_C70_3', 'NQ_C70_4',
        'NQ_C70_5', 'NQ_C70_6', 'NQ_C70_7', 'NQ_C70_8', 'NQ_C70_9',
        'NQ_C70_10', 'NQ_C70_11', 'NQ_C70_12', 'NQ_C70_13'], dtype=object)]","['Mountain biking is the sport of riding bicycles off-road, often over rough terrain, using specially designed mountain bikes. Mountain bikes share similarities with other bikes but incorporate features designed to enhance durability and performance in rough terrain. Mountain biking can generally be broken down into multiple categories: cross country, trail riding, all mountain (also referred to as ""Enduro""), downhill, freeride and dirt jumping. However, the majority of mountain biking falls into the categories of Trail and Cross Country riding styles.']"
"NQ_Q71","how much canadian tire money do you get","[array(['NQ_C71_0', 'NQ_C71_1', 'NQ_C71_2'], dtype=object)]","[]"
"NQ_Q72","what is the origin of the name dara","[array(['NQ_C72_0'], dtype=object)]","[]"
"NQ_Q73","who is doing 2018 super bowl half time show","[array(['NQ_C73_0', 'NQ_C73_1', 'NQ_C73_2', 'NQ_C73_3', 'NQ_C73_4',
        'NQ_C73_5', 'NQ_C73_6'], dtype=object)                     ]","['The Super Bowl LII Halftime Show (officially known as the Pepsi Super Bowl LII Halftime Show) took place on February 4, 2018 at U.S. Bank Stadium in Minneapolis, Minnesota, as part of Super Bowl LII. Justin Timberlake was the featured performer, as confirmed by the National Football League (NFL) on October 22, 2017. It was televised nationally by NBC.']"
"NQ_Q74","who is playing the halftime show for the superbowl","[array(['NQ_C74_0', 'NQ_C74_1', 'NQ_C74_2', 'NQ_C74_3', 'NQ_C74_4',
        'NQ_C74_5', 'NQ_C74_6'], dtype=object)                     ]","[]"
"NQ_Q75","collection of all types of documents used in the banks and office definition","[array(['NQ_C75_0', 'NQ_C75_1', 'NQ_C75_2'], dtype=object)]","[]"
"NQ_Q76","who is the national artist for visual who was conferred and died of the same year 1999","[array(['NQ_C76_0', 'NQ_C76_1', 'NQ_C76_2', 'NQ_C76_3', 'NQ_C76_4',
        'NQ_C76_5', 'NQ_C76_6', 'NQ_C76_7', 'NQ_C76_8', 'NQ_C76_9'],
       dtype=object)                                                ]","[]"
"NQ_Q77","who hosted they think it's all over","[array(['NQ_C77_0', 'NQ_C77_1'], dtype=object)]","['The show was originally presented by comedian Nick Hancock. Ex-England football team captain Gary Lineker and ex-England cricket team captain David Gower were team captains from 1995 until they announced their retirement from the show in 2003. They were replaced as team captains by ex-England football goalkeeper David Seaman and ex-England cricketer Phil Tufnell. Former footballer Ian Wright took over from David Seaman in autumn 2004. From October 2005, Boris Becker replaced Tufnell and Lee Mack took over from Hancock as host.']"
